beta,seed,mean_relevant_information,mean_roi_event_fraction,mean_roi_event_density,roi_empty_fraction,mean_total_event_mass,mean_roi_event_mass,n_fixations,unique_cells,revisit_fraction,consecutive_same_cell_fraction,mean_saccade_length_px,median_saccade_length_px,std_saccade_length_px
20,2,0.15640679269477575,0.17050534523302668,0.2413467723803578,0.0,4287.431372549019,673.2941176470588,50,18,0.64,0.14285714285714285,62.94415488850696,52.61211405199944,45.26624973831659
20,3,0.1679880759731346,0.18246239080713592,0.25851187132335857,0.0,4287.431372549019,724.3725490196078,50,21,0.5800000000000001,0.08163265306122448,59.59429537781416,65.55102318735322,32.939337552868864
20,4,0.15493347470374777,0.16876910827591246,0.23946837545983143,0.0,4287.431372549019,672.6666666666666,50,18,0.64,0.14285714285714285,67.9651170505277,79.1232255123179,37.60721824740656
21,0,0.15867863369719248,0.17290196624241755,0.24216977641893345,0.0,4287.431372549019,680.2549019607843,50,20,0.6,0.08163265306122448,62.65629178720255,60.30627748263804,39.13731083604154
21,1,0.15548894242028607,0.1693792611134775,0.2404127381982176,0.0,4287.431372549019,675.1372549019608,50,18,0.64,0.12244897959183673,63.27968207700934,66.75751332068782,40.14650465772361
21,2,0.16039415683746047,0.17479418741838199,0.24558933804314836,0.0,4287.431372549019,684.6274509803922,50,17,0.6599999999999999,0.16326530612244897,61.50950184885654,65.15294137185323,39.66486080027907
21,3,0.16210663131959654,0.1764376808595263,0.24852995046672832,0.0,4287.431372549019,696.3333333333334,50,20,0.6,0.12244897959183673,56.23476930646751,62.41676177475681,32.71010120816472
21,4,0.1636774178405457,0.1778920731764925,0.2523680885668613,0.0,4287.431372549019,708.9019607843137,50,19,0.62,0.14285714285714285,60.9975710755923,75.86800781165155,34.987659579887094
22,0,0.15946466279015753,0.17372648880241506,0.24325871323965678,0.0,4287.431372549019,683.3137254901961,50,22,0.56,0.08163265306122448,66.23755149450801,70.92849839314596,40.82115593674927
22,1,0.15666132734023372,0.17068277375751317,0.24062214912527974,0.0,4287.431372549019,675.7254901960785,50,18,0.64,0.08163265306122448,63.68308634100186,66.14290802991353,39.81663614727519
22,2,0.1546557774536277,0.1688524946915699,0.23639781574658805,0.0,4287.431372549019,659.0784313725491,50,18,0.64,0.22448979591836735,57.251969248951085,59.71831126374149,43.400368859229296
22,3,0.16017333501987513,0.17439193797488498,0.24608682298433626,0.0,4287.431372549019,689.4705882352941,50,19,0.62,0.12244897959183673,62.89481692015451,76.31811490817586,38.466894917321405
22,4,0.16383820210424474,0.17799341945152541,0.25322667336781624,0.0,4287.431372549019,711.3137254901961,50,18,0.64,0.1836734693877551,59.30605370060286,76.8937066525437,37.35869369318485
23,0,0.1573101488767638,0.17150332635949297,0.2398034329431309,0.0,4287.431372549019,673.6078431372549,50,21,0.5800000000000001,0.061224489795918366,66.27728521407373,72.18725516390165,39.698884929583656
23,1,0.15655759452947438,0.1705848999457639,0.24027313091350944,0.0,4287.431372549019,674.7450980392157,50,18,0.64,0.08163265306122448,62.817132315843516,66.36253060054771,37.48183410151919
23,2,0.1565199495316878,0.1707088526933649,0.24037831715771957,0.0,4287.431372549019,669.6666666666666,50,17,0.6599999999999999,0.1836734693877551,53.651066243578164,51.93939171309602,39.99978863603142
23,3,0.16034791445873228,0.17460863116868955,0.24591231387845114,0.0,4287.431372549019,688.9803921568628,50,20,0.6,0.12244897959183673,62.45053604281556,74.01662767228581,39.40749355090978
23,4,0.16185798537429025,0.17597848665494112,0.24976441270705496,0.0,4287.431372549019,701.5882352941177,50,18,0.64,0.1836734693877551,59.58797407988747,77.88130508381812,38.604058660387764
24,0,0.15918063530057114,0.17335569051166874,0.244019572941316,0.0,4287.431372549019,685.4509803921569,50,18,0.64,0.12244897959183673,66.12331282883018,75.29217550738625,42.87525510758697
24,1,0.1570054450900903,0.17102092166466215,0.24131320518458488,0.0,4287.431372549019,677.6666666666666,50,18,0.64,0.08163265306122448,61.02408366475433,66.10869713627892,36.919117173587246
24,2,0.15938172659968247,0.17362932301096204,0.24395781189253748,0.0,4287.431372549019,683.4901960784314,50,16,0.6799999999999999,0.24489795918367346,53.98856299132085,61.31755965341428,39.013524143970656
24,3,0.15426280185096997,0.16825304375791159,0.2371519567630169,0.0,4287.431372549019,664.3725490196078,50,16,0.6799999999999999,0.10204081632653061,61.984505035151905,70.9729503678105,39.24870871184462
24,4,0.16259726227813096,0.1768230374124326,0.24986213780635066,0.0,4287.431372549019,701.8627450980392,50,16,0.6799999999999999,0.22448979591836735,59.40531358634881,77.91978244109288,40.71472359856521
25,0,0.15889913507218226,0.173124597261868,0.2428259306570616,0.0,4287.431372549019,682.0980392156863,50,18,0.64,0.10204081632653061,67.83371156034116,77.13659721901624,42.4033910901998
25,1,0.15662465996296782,0.17064430330356872,0.24052442402598403,0.0,4287.431372549019,675.4509803921569,50,17,0.6599999999999999,0.10204081632653061,54.36899999316588,51.81055831193113,35.28075735784491
25,2,0.1575850506498886,0.1717945885663271,0.24085853017201733,0.0,4287.431372549019,674.7843137254902,50,17,0.6599999999999999,0.24489795918367346,54.87408313398422,66.74890493190449,42.955034631630646
25,3,0.15438468965769525,0.16841478864455858,0.23680991891548198,0.0,4287.431372549019,663.4117647058823,50,17,0.6599999999999999,0.12244897959183673,61.34310055805844,69.1239655430916,40.345557548804926
25,4,0.1650699628212687,0.17934139931846727,0.2545013952674204,0.0,4287.431372549019,714.6470588235294,50,15,0.7,0.22448979591836735,58.64334301191636,76.08174931287635,38.845827580149724
26,0,0.1581683838421136,0.17231319426208894,0.24230938370364158,0.0,4287.431372549019,680.6470588235294,50,17,0.6599999999999999,0.14285714285714285,65.09936225150553,74.38737132946656,42.71642581545484
26,1,0.15663148286302653,0.17062981074755282,0.24076175640998784,0.0,4287.431372549019,676.1176470588235,50,17,0.6599999999999999,0.10204081632653061,54.378980512870015,46.48145911385213,33.75302176666413
26,2,0.16117291577598605,0.1754585091627475,0.2470710543415285,0.0,4287.431372549019,692.2352941176471,50,14,0.72,0.2653061224489796,56.0226654039024,67.53724154605304,40.596563414190584
26,3,0.15706499271985086,0.17121446255695372,0.24083758907931113,0.0,4287.431372549019,674.7254901960785,50,16,0.6799999999999999,0.12244897959183673,56.1685528716498,64.93280709399863,39.72975796936953
26,4,0.15921596058679363,0.17324818513424814,0.2457018407220488,0.0,4287.431372549019,690.1764705882352,50,16,0.6799999999999999,0.1836734693877551,60.48856205564772,77.96782582411336,39.202727716831845
