frame,time_s,frame_path,camera_x,camera_y,camera_z,pan_rad,tilt_rad,pan_deg,tilt_deg,drift_pan_deg,drift_tilt_deg,delta_drift_pan_deg,delta_drift_tilt_deg
51,0.051000000000000004,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00051.png,0.0,-0.25,1.5,-0.0005733483405378069,0.01365322058736858,-0.03285044010364582,0.7822719164173465,-0.03285044010364582,0.7822719164173465,-0.016429459262529072,-0.0966928372405591
52,0.052000000000000005,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00052.png,0.0,-0.25,1.5,0.0009503976666569555,0.011641982482160501,0.054453775158524835,0.667036461393035,0.054453775158524835,0.667036461393035,0.08730421526217066,-0.11523545502431157
53,0.053,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00053.png,0.0,-0.25,1.5,-0.00029414093831386543,0.012617475045375338,-0.016853034347402384,0.7229280682116438,-0.016853034347402384,0.7229280682116438,-0.07130680950592722,0.055891606818608865
54,0.054,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00054.png,0.0,-0.25,1.5,-0.004221378149670451,0.013224382990017713,-0.2418671517048616,0.7577013319926112,-0.2418671517048616,0.7577013319926112,-0.2250141173574592,0.034773263780967525
55,0.055,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00055.png,0.0,-0.25,1.5,-0.0052365329156104055,0.01339603913740912,-0.30003123534581194,0.7675365047656145,-0.30003123534581194,0.7675365047656145,-0.05816408364095032,0.009835172773003248
56,0.056,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00056.png,0.0,-0.25,1.5,-0.005368657003744224,0.013713519686736545,-0.30760138796789427,0.7857268003195709,-0.30760138796789427,0.7857268003195709,-0.007570152622082312,0.018190295553956386
57,0.057,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00057.png,0.0,-0.25,1.5,-0.004157098416695927,0.012522275267672963,-0.23818419429719342,0.717473522738714,-0.23818419429719342,0.717473522738714,0.06941719367070082,-0.06825327758085682
58,0.058,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00058.png,0.0,-0.25,1.5,-0.0016770169265968799,0.013662820724260701,-0.0960859920660018,0.7828219637440128,-0.0960859920660018,0.7828219637440128,0.14209820223119163,0.06534844100529885
59,0.059000000000000004,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00059.png,0.0,-0.25,1.5,-0.00020442563021593287,0.015492584787005584,-0.01171272583567499,0.8876597220440055,-0.01171272583567499,0.8876597220440055,0.0843732662303268,0.10483775829999252
60,0.06,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00060.png,0.0,-0.25,1.5,0.0011701751316535163,0.01681846047798432,0.06704609633491194,0.9636268032960786,0.06704609633491194,0.9636268032960786,0.07875882217058694,0.07596708125207327
61,0.061,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00061.png,0.0,-0.25,1.5,0.0013021108717469465,0.014577289353682639,0.07460545740920047,0.8352171567070028,0.07460545740920047,0.8352171567070028,0.0075593610742885125,-0.12840964658907592
62,0.062,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00062.png,0.0,-0.25,1.5,0.0010664127083138456,0.013368538583478173,0.06110094740549907,0.7659608390910992,0.06110094740549907,0.7659608390910992,-0.013504510003701392,-0.0692563176159035
